StationNumber;StartDate; EndDate;Latitude;Longitude;Elevation;StationName                             ;RegioName             ;EOR
        13704; 19950422;20040317; 47.6783;  16.6022;    232.8;Sopron Kuruc-domb                       ;Győr-Moson-Sopron     ;EOR
        13704; 20050727;20221124; 47.6783;  16.6022;    232.8;Sopron Kuruc-domb                       ;Győr-Moson-Sopron     ;EOR
        13711; 20031107;20221124; 47.7147;  16.6658;    116.8;Fertőrákos                              ;Győr-Moson-Sopron     ;EOR
        14308; 20220401;20220401; 47.6319;  16.7183;    153.0;Fertőboz                                ;Győr-Moson-Sopron     ;EOR
        14707; 20140519;20221124; 47.4806;  16.7292;    198.7;Sopronhorpács                           ;Győr-Moson-Sopron     ;EOR
        15310; 20020227;20221124; 47.1983;  16.6478;    200.1;Szombathely                             ;Vas                   ;EOR
        15811; 20180328;20221124; 47.0511;  16.8119;    227.0;Vasvár                                  ;Vas                   ;EOR
        16204; 19950517;20221124; 46.9103;  16.3094;    310.7;Szentgotthárd Farkasfa                  ;Vas                   ;EOR
        16414; 19990422;20221124; 46.9258;  16.8128;    239.1;Nagykutas                               ;Zala                  ;EOR
        17306; 19970925;20221124; 46.6056;  16.6131;    164.3;Iklódbördőce                            ;Zala                  ;EOR
        17419; 20140527;20221124; 46.6511;  16.8408;    204.4;Söjtör                                  ;Zala                  ;EOR
        17809; 19951125;20221124; 46.4561;  16.9706;    138.8;Nagykanizsa                             ;Zala                  ;EOR
        23201; 19961231;20221124; 47.8897;  17.2672;    120.0;Mosonmagyaróvár                         ;Győr-Moson-Sopron     ;EOR
        23703; 19960103;20221124; 47.7100;  17.6747;    115.7;Győr Likócs                             ;Győr-Moson-Sopron     ;EOR
        23714; 20200218;20221124; 47.6931;  17.6275;    124.0;Győr Egyetem                            ;Győr-Moson-Sopron     ;EOR
        24120; 20140603;20221124; 47.5767;  17.1819;    118.4;Jobaháza                                ;Győr-Moson-Sopron     ;EOR
        24423; 20140627;20221124; 47.6244;  17.8119;    128.1;Pér repülőtér                           ;Győr-Moson-Sopron     ;EOR
        24709; 20110905;20221124; 47.3569;  17.5036;    144.4;Pápa repülőtér                          ;Veszprém              ;EOR
        25503; 19980811;20221124; 47.1606;  17.0397;    169.2;Káld                                    ;Vas                   ;EOR
        25713; 19991013;20221124; 47.0469;  17.6569;    593.7;Kab-hegy                                ;Veszprém              ;EOR
        25820; 20050325;20221124; 47.0828;  17.9706;    280.5;Szentkirályszabadja repülőtér           ;Veszprém              ;EOR
        26212; 19971217;20221124; 46.9642;  17.2917;    193.8;Sümeg                                   ;Veszprém              ;EOR
        26505; 19951101;20001214; 46.7356;  17.2386;    110.7;Keszthely Tanyakereszt                  ;Zala                  ;EOR
        26505; 20010425;20221124; 46.7356;  17.2386;    110.7;Keszthely Tanyakereszt                  ;Zala                  ;EOR
        26514; 20161213;20221124; 46.6942;  17.1575;    122.0;Sármellék repülőtér                     ;Zala                  ;EOR
        26710; 19970924;20221124; 46.7492;  17.5525;    105.6;Fonyód                                  ;Somogy                ;EOR
        27406; 19990421;20221124; 46.6172;  17.8703;    163.0;Kisbárapáti                             ;Somogy                ;EOR
        27615; 19980812;20221124; 46.4400;  17.3744;    185.9;Nemeskisfalud                           ;Somogy                ;EOR
        27815; 20060320;20221124; 46.3628;  17.8739;    128.5;Kaposvár Fészerlak                      ;Somogy                ;EOR
